,installment_commitment,residence_since,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration_bin,credit_amount_bin,age_bin
207,4,3,1,1,0,1,0,2,1,3,2,0,1,1,3,0,1,1,2,2
210,1,2,2,2,3,1,7,4,0,3,2,2,1,1,3,0,1,1,3,3
212,2,4,2,1,1,4,3,2,4,3,2,0,2,1,3,1,1,3,4,4
218,2,2,1,1,1,3,5,2,0,1,2,2,1,2,2,0,1,2,3,2
223,4,4,2,2,3,2,3,4,0,3,2,2,1,1,3,1,1,2,2,3
228,4,2,1,1,3,3,7,2,1,3,2,3,1,1,3,0,1,1,2,2
231,2,4,1,1,3,3,1,1,3,3,2,1,1,0,2,0,1,1,2,5
235,4,2,1,2,1,3,7,2,4,3,2,3,2,1,0,0,1,2,2,2
244,4,3,1,2,3,0,9,1,0,0,2,2,1,1,2,0,1,1,3,3
245,4,1,1,1,3,3,3,2,1,3,2,2,1,1,3,1,1,2,2,2
247,4,1,1,1,3,4,1,0,0,3,2,1,0,2,3,0,0,1,2,3
258,1,4,1,1,3,3,2,0,2,0,2,3,1,1,3,1,1,2,3,2
262,2,4,3,1,1,1,1,2,3,3,2,1,1,0,0,1,1,2,4,3
263,2,4,3,1,3,1,4,2,3,0,2,1,0,0,2,0,1,1,2,5
266,4,4,2,1,3,1,3,4,3,3,2,2,1,1,3,0,1,3,4,3
268,1,4,1,1,1,3,1,2,3,1,2,0,1,1,0,1,0,2,4,4
270,4,3,1,1,3,3,1,4,1,3,2,0,1,1,3,0,0,2,2,3
273,4,4,2,1,0,3,7,2,1,3,2,2,1,1,3,0,1,4,3,2
276,2,2,2,1,3,1,7,2,0,0,2,3,1,1,3,0,1,2,2,2
277,2,4,1,1,1,3,5,4,3,1,2,0,1,1,2,1,1,1,2,4
280,3,4,2,1,3,1,2,3,3,3,2,1,1,2,3,1,1,2,3,2
289,4,4,1,1,1,2,7,2,2,2,2,2,2,1,3,0,1,2,2,4
292,2,4,2,2,1,1,2,2,3,0,2,1,1,0,0,1,1,2,4,4
299,3,2,2,1,0,1,5,3,1,3,2,3,1,1,3,1,1,2,2,3
301,4,1,1,1,0,4,7,2,0,0,2,3,1,1,3,1,1,3,3,4
302,4,2,2,2,2,1,1,4,1,3,2,2,0,1,2,0,1,2,2,3
306,2,4,1,1,3,3,2,4,1,0,2,0,2,2,2,0,1,3,3,2
307,4,3,1,1,1,3,7,0,2,2,2,1,1,1,2,1,1,1,1,3
308,3,4,1,1,0,3,5,2,0,0,2,2,1,1,3,0,1,1,2,2
309,4,4,1,1,0,3,1,2,0,2,2,2,1,2,2,0,1,1,1,2
310,3,4,1,1,0,3,6,4,4,3,2,1,0,0,1,1,1,4,4,3
311,4,1,1,1,3,3,5,0,0,3,2,3,2,1,3,0,1,2,4,2
313,2,3,1,1,0,3,1,2,1,2,2,3,0,1,2,0,1,1,1,2
315,4,4,1,1,1,0,5,2,3,3,2,3,0,1,3,0,1,3,2,3
318,4,2,2,1,3,1,4,2,0,3,2,3,1,1,3,0,1,1,1,3
320,4,2,2,1,0,1,1,2,4,2,2,3,1,1,0,0,1,3,3,2
327,4,3,1,2,3,3,1,3,1,0,2,3,1,1,3,1,1,2,2,3
328,4,2,1,1,2,3,7,2,3,3,2,3,1,1,3,0,1,3,3,3
336,2,4,1,1,0,3,7,2,2,0,1,0,1,1,2,0,1,2,2,2
338,4,4,1,1,1,3,5,2,0,3,2,0,1,1,3,0,1,2,3,2
345,4,2,1,1,3,1,7,2,0,0,2,3,1,1,2,0,1,2,2,4
348,1,2,2,1,3,2,3,0,0,3,2,2,1,1,2,0,1,1,2,3
351,1,2,1,1,0,3,5,2,0,0,2,3,1,1,3,0,0,1,1,2
354,4,4,1,1,3,3,4,1,3,3,2,1,1,0,3,1,1,1,1,4
364,4,1,1,1,1,3,5,2,4,3,2,3,1,1,1,0,1,2,2,2
366,3,1,2,1,3,1,2,2,1,3,2,3,1,1,3,0,1,2,3,2
369,2,4,1,1,0,3,5,2,1,0,2,2,1,2,3,0,1,2,3,3
371,3,4,2,1,3,1,7,2,3,3,2,3,1,1,3,1,1,2,4,3
372,1,3,2,1,3,1,5,2,2,0,2,2,1,2,3,0,1,1,2,2
379,4,4,2,1,3,1,1,0,0,0,2,3,1,1,2,0,1,1,1,5
382,4,4,1,1,3,3,1,4,1,0,2,0,1,2,3,0,1,2,2,2
384,2,2,2,1,3,2,3,0,0,3,2,0,1,1,2,0,1,3,3,2
385,2,1,2,1,3,1,7,2,0,0,2,3,1,1,3,0,1,2,2,2
386,4,2,1,1,3,3,7,4,2,0,2,2,1,2,3,1,1,2,2,2
394,2,3,1,1,3,1,5,2,4,3,2,3,1,1,0,0,1,1,2,3
398,1,1,2,1,0,3,1,2,3,1,2,2,1,2,3,0,1,1,2,4
403,4,2,2,1,3,2,1,2,0,3,2,3,1,1,2,0,1,2,1,2
405,1,1,1,1,0,3,7,2,2,2,2,0,1,1,3,1,1,2,2,2
407,4,2,1,1,1,3,7,2,2,2,2,2,1,1,3,0,0,2,2,2
414,4,2,1,1,1,3,1,4,0,0,2,0,1,1,3,0,1,2,2,3
417,1,2,2,1,1,2,4,4,0,0,2,3,1,2,3,1,1,2,4,2
426,4,2,2,1,3,1,7,2,3,3,2,3,1,1,3,0,1,3,2,2
430,1,4,1,1,3,3,3,2,1,3,2,2,1,1,2,0,1,1,3,5
434,3,2,1,1,1,3,5,2,0,3,2,2,1,1,3,0,1,1,2,2
436,2,4,1,1,3,3,8,1,1,2,2,2,1,2,2,0,1,1,1,2
438,4,4,2,1,1,1,8,2,4,3,0,3,1,1,1,0,1,4,3,5
440,4,4,1,1,3,3,1,2,3,3,2,3,1,1,0,1,1,1,2,3
442,2,3,2,1,0,2,6,2,0,3,2,3,0,1,3,1,1,2,2,2
446,4,4,1,1,1,3,1,2,2,0,2,3,1,1,3,1,1,3,2,3
465,3,4,1,2,1,3,2,2,0,3,1,1,0,1,3,1,1,2,2,5
469,3,3,2,1,3,2,2,2,1,3,2,3,1,1,2,1,1,2,3,3
482,4,4,2,1,1,3,5,3,3,0,2,0,1,2,3,1,1,3,3,5
492,1,1,2,1,3,1,7,0,0,0,2,0,1,1,3,0,1,1,2,2
494,3,2,2,2,1,1,1,2,0,3,2,2,1,2,2,0,0,1,2,3
496,4,1,1,1,0,3,5,0,2,3,0,1,1,2,0,1,1,3,4,2
498,4,2,1,1,0,3,7,2,3,2,1,2,1,1,2,0,1,2,2,3
502,2,4,1,1,2,3,7,0,3,1,2,2,1,1,3,0,1,1,2,4
512,2,4,1,1,2,3,3,2,1,3,2,0,1,2,3,1,1,2,2,2
515,4,3,2,1,1,1,1,2,1,0,2,0,1,1,3,0,0,1,1,3
520,3,4,2,1,3,1,8,2,3,3,2,1,1,0,3,0,1,2,4,4
521,2,2,1,1,1,3,7,2,0,0,2,2,1,1,3,0,1,2,3,2
530,3,1,2,2,0,3,4,2,1,3,2,3,1,1,3,0,1,3,2,3
534,4,2,2,1,3,3,7,4,2,3,2,3,1,1,3,0,1,2,3,2
535,2,1,1,1,2,1,4,2,2,1,2,3,1,2,3,0,1,2,2,3
537,3,4,1,1,0,1,5,2,3,0,2,0,1,1,3,1,1,2,3,3
542,4,4,1,1,1,3,5,4,3,3,2,0,1,1,3,0,1,3,4,3
545,4,2,2,2,1,2,1,2,4,3,2,2,1,0,3,0,1,2,2,4
547,3,1,1,2,3,3,7,2,1,3,2,3,0,1,3,0,1,2,2,3
548,4,4,1,1,1,0,7,2,0,0,2,2,0,1,2,0,1,1,1,2
549,2,1,2,1,3,1,2,4,1,3,2,1,1,0,3,1,1,4,4,3
564,4,2,2,1,0,2,3,4,0,3,2,0,0,1,0,1,1,2,3,3
568,4,1,2,2,0,3,7,4,1,3,2,3,1,1,3,1,1,4,3,4
569,3,2,1,1,1,3,7,2,0,0,2,3,1,1,3,1,1,4,4,3
570,4,4,1,1,1,3,5,2,2,0,2,2,1,2,2,1,1,2,3,2
573,4,4,1,1,1,3,3,2,0,0,2,0,1,1,2,0,1,2,1,2
576,2,1,1,1,0,3,7,2,1,0,2,2,1,1,3,0,1,1,2,2
584,4,4,1,1,3,3,1,4,3,0,2,1,1,0,0,1,1,1,2,5
586,2,2,2,2,1,1,1,2,0,3,2,2,1,2,3,0,1,1,2,3
590,4,3,4,1,1,1,7,2,1,0,2,2,1,1,2,1,1,1,1,5
592,4,4,1,1,3,3,3,3,3,0,2,2,0,1,2,0,1,2,2,3
594,4,3,1,1,1,0,6,4,3,3,2,3,2,1,0,1,1,2,2,3
596,4,4,2,1,1,3,1,2,1,0,2,3,1,2,3,0,1,2,2,2
599,1,2,1,1,3,2,3,2,0,3,2,1,1,0,3,0,1,2,3,3
604,4,2,1,1,2,3,5,2,2,0,2,0,1,1,3,0,1,1,2,2
610,4,3,1,1,1,3,0,0,4,0,2,0,1,1,3,0,1,1,1,2
611,1,4,1,2,2,3,1,0,3,0,2,1,1,0,2,0,1,1,2,4
615,2,2,1,1,0,4,3,4,0,3,2,3,0,1,0,1,1,4,5,4
624,4,4,2,1,1,3,7,2,0,3,2,1,1,0,3,0,1,2,2,5
627,2,3,1,1,0,0,1,0,1,3,2,1,1,1,3,0,1,1,2,2
630,2,4,1,1,1,3,7,2,0,0,2,3,1,1,3,0,1,2,3,2
634,3,4,1,1,0,3,1,2,2,0,2,3,1,1,2,1,1,2,2,2
636,4,1,1,1,3,3,7,1,1,0,2,3,1,1,3,0,1,2,2,2
637,2,4,2,1,3,2,7,2,1,3,2,3,1,1,3,1,1,5,5,2
638,4,3,1,2,3,3,7,2,2,0,2,3,1,1,3,0,1,1,2,3
647,2,2,1,1,3,3,1,1,0,0,2,0,1,1,3,0,1,1,2,2
648,4,3,1,2,2,3,1,2,1,3,2,1,0,0,3,0,1,2,1,3
649,4,4,1,2,1,3,4,2,0,3,2,3,1,2,2,0,1,1,1,3
651,4,2,1,1,0,3,5,2,0,3,2,0,1,1,2,0,1,1,2,3
652,4,1,1,1,1,3,1,2,3,3,0,2,1,1,3,0,1,2,2,4
656,4,4,1,2,0,3,1,2,3,3,2,3,0,1,2,0,1,1,1,4
657,4,3,1,1,3,3,7,4,1,3,2,3,2,1,3,1,1,4,5,3
660,3,4,1,1,2,3,7,2,0,2,2,2,1,2,3,0,1,1,2,2
662,4,2,2,1,3,3,5,2,3,3,2,2,1,1,3,0,1,2,2,4
665,4,2,2,1,3,1,6,2,4,3,0,1,0,1,0,1,1,2,4,2
666,4,2,1,2,0,0,5,3,0,3,2,3,2,1,3,1,1,3,3,3
669,4,4,1,1,2,1,7,2,3,3,2,0,1,1,3,0,1,3,3,4
676,4,4,1,1,3,1,5,2,3,3,2,3,1,1,3,1,1,2,4,3
677,2,2,1,1,0,3,7,0,0,2,2,3,1,1,3,0,1,5,4,2
684,1,3,2,2,0,2,3,0,1,3,2,0,1,1,2,1,1,3,4,3
696,4,3,2,1,0,3,7,2,1,3,1,2,1,1,3,0,0,1,2,2
705,1,4,1,1,3,3,1,1,3,0,2,1,1,0,3,0,1,2,4,3
709,2,2,1,2,0,3,7,2,0,3,2,2,1,1,2,0,1,1,2,3
715,1,4,2,1,3,1,2,4,3,3,2,3,1,1,3,0,1,3,4,5
717,4,2,1,1,3,3,7,2,0,3,2,1,1,0,0,1,1,2,2,3
721,4,2,1,2,0,0,4,3,2,0,2,0,0,2,3,0,1,1,1,2
725,2,2,2,1,3,1,1,3,0,0,2,2,0,1,2,0,1,1,1,4
727,4,4,2,1,1,3,7,2,0,0,2,3,0,2,3,0,1,2,2,2
728,4,3,1,1,0,0,3,2,3,0,2,1,1,2,3,0,1,4,4,5
739,4,4,2,1,0,4,3,0,0,0,2,3,1,2,2,0,1,3,3,2
750,2,1,1,1,1,3,5,2,3,0,2,0,0,1,3,1,1,1,1,4
754,4,4,2,2,3,2,8,3,3,3,2,1,1,0,3,0,1,1,2,5
755,4,4,1,1,1,3,1,4,1,0,2,1,1,2,3,0,1,2,2,3
757,3,4,2,1,2,1,7,4,0,3,2,1,1,0,3,1,1,2,2,3
764,4,3,2,1,3,1,1,0,1,2,2,0,1,1,3,1,1,2,2,2
766,2,4,1,1,1,3,5,2,2,1,2,0,1,1,2,0,1,3,3,3
767,1,4,1,1,3,3,2,4,2,0,2,2,1,2,3,0,1,1,2,3
773,4,4,2,1,3,1,7,0,3,3,2,0,0,1,3,0,1,2,2,5
774,2,4,3,1,2,1,1,1,4,3,2,1,0,0,1,0,1,1,2,5
779,2,4,1,1,0,3,8,2,4,0,2,3,1,1,3,1,1,2,3,5
790,2,4,1,2,0,3,3,2,3,0,2,0,1,1,3,0,1,2,2,3
791,3,4,1,2,3,3,2,4,3,3,2,3,1,1,0,1,1,2,4,4
793,3,4,1,1,2,3,5,2,3,1,2,1,1,0,3,0,1,2,2,5
795,2,4,1,1,3,3,5,0,2,0,2,0,1,2,3,0,1,1,2,2
801,3,4,2,1,0,1,7,2,3,0,1,2,0,2,2,1,1,2,2,4
811,3,3,1,1,0,3,7,2,1,2,1,2,0,1,2,0,1,1,1,2
813,3,4,1,1,1,3,0,2,0,3,2,3,1,1,3,0,1,4,3,5
814,4,4,1,2,1,3,1,2,1,3,2,1,1,0,3,0,1,4,3,4
821,3,1,1,1,2,3,7,2,0,2,2,3,1,1,3,0,1,1,3,2
823,4,4,2,1,1,1,1,2,3,3,2,2,1,1,2,0,1,1,1,4
830,4,2,2,2,3,2,3,1,0,3,2,3,1,1,3,1,1,2,2,4
832,2,4,2,1,1,4,3,2,3,3,2,3,1,2,3,0,1,4,5,2
834,2,3,1,1,2,3,7,2,2,0,2,2,1,1,2,0,1,2,2,2
835,4,4,2,1,1,4,1,2,0,3,2,3,0,1,3,0,1,1,2,4
839,4,3,2,1,3,1,7,2,3,2,0,2,1,1,3,0,1,2,2,4
840,4,2,1,1,1,3,5,2,1,3,2,0,1,1,3,0,1,3,4,2
844,4,4,3,2,3,3,5,2,3,3,2,0,0,1,3,1,1,2,3,4
846,2,4,2,1,3,3,1,4,0,3,2,3,1,2,3,0,1,2,4,5
856,4,3,1,1,3,3,9,4,1,0,2,0,1,1,3,1,1,1,1,3
858,3,2,1,1,1,3,1,2,0,0,2,0,1,1,3,1,1,2,3,2
861,4,2,1,1,3,2,3,2,0,2,2,3,1,1,3,1,1,2,2,2
863,4,2,2,2,3,1,5,3,2,3,2,2,2,1,2,1,1,3,3,3
864,2,2,1,1,3,3,5,2,0,3,2,2,0,2,2,0,1,1,2,2
867,2,4,1,1,3,1,5,2,3,3,2,0,2,1,3,0,1,1,3,4
869,4,4,1,1,1,3,5,2,3,0,2,0,1,2,3,0,1,1,1,2
871,1,4,2,2,2,1,1,2,3,3,2,2,1,1,3,0,0,1,2,4
872,4,1,2,1,1,1,3,0,1,3,2,2,1,1,3,1,1,2,2,2
876,3,4,1,1,1,0,7,2,2,3,0,1,0,0,0,1,1,2,2,3
877,4,2,1,1,3,3,7,2,3,3,2,3,1,1,3,0,1,3,3,2
878,3,2,1,1,1,3,1,2,2,3,2,1,1,0,0,1,1,1,2,2
879,2,3,2,1,3,1,7,4,1,3,2,0,1,1,3,0,1,3,4,3
880,3,3,1,1,3,3,2,2,1,3,2,3,1,1,0,1,1,2,4,3
882,4,4,2,1,0,1,1,4,3,3,2,2,1,1,3,0,1,3,2,3
885,4,4,1,1,1,3,4,2,2,0,2,0,1,1,3,0,1,1,1,5
891,4,4,2,1,3,1,7,2,3,3,2,3,1,1,3,1,1,2,2,4
896,4,4,1,1,1,3,7,2,2,0,2,0,1,2,0,1,1,2,2,2
902,2,4,2,1,3,1,2,4,3,3,2,1,1,0,3,0,1,3,5,4
907,2,2,1,1,0,3,4,4,0,2,2,3,1,1,3,0,1,3,3,2
909,1,2,1,1,0,3,1,4,0,0,2,2,1,1,2,0,1,1,3,3
911,2,4,1,1,0,1,5,2,2,0,2,3,0,1,2,0,1,2,3,2
914,4,2,1,1,1,0,3,2,0,3,2,0,1,2,3,1,1,2,3,3
918,1,1,1,1,1,3,5,0,4,1,2,0,1,1,3,0,1,2,2,3
919,4,2,1,1,1,3,5,2,3,3,2,0,1,2,0,1,1,2,3,3
921,4,1,1,1,3,2,7,1,1,3,2,3,1,1,0,1,1,4,5,3
922,3,4,1,1,1,3,7,2,2,0,2,0,1,2,3,0,1,1,2,2
927,4,4,3,2,1,3,2,2,1,3,2,1,2,0,3,1,1,4,5,3
931,4,2,1,1,0,3,7,2,2,0,2,3,1,1,3,1,1,1,2,2
943,2,1,3,2,3,1,1,2,1,3,2,2,1,1,2,0,1,1,2,4
944,4,1,1,1,1,3,5,2,2,0,1,0,1,2,3,0,1,2,2,4
945,1,1,2,1,0,4,1,1,2,0,2,3,1,1,3,0,1,4,4,2
954,4,4,1,1,1,3,1,2,0,0,1,0,1,1,3,1,1,1,2,2
958,3,2,1,1,1,3,1,2,0,3,2,3,1,1,2,0,1,3,3,4
961,1,4,2,1,0,2,1,2,0,1,2,0,1,1,3,0,1,2,2,4
963,3,2,2,1,3,3,7,1,3,3,2,3,0,1,3,1,1,2,2,3
965,4,1,1,1,0,3,7,4,0,0,2,3,1,1,3,0,1,3,2,2
971,1,4,1,2,3,3,1,2,0,3,2,0,1,1,2,0,1,2,4,4
973,4,4,1,1,1,3,3,2,3,3,0,1,1,2,3,0,1,5,4,3
977,4,2,2,1,0,2,3,4,3,3,2,0,1,1,3,0,1,2,2,4
983,2,2,1,2,1,3,2,2,0,3,2,0,1,1,3,0,1,3,4,2
984,2,2,2,1,3,1,5,2,1,3,2,0,1,1,2,0,1,2,2,2
985,4,3,2,1,1,1,5,2,0,0,2,0,1,2,3,0,1,2,2,2
988,4,2,1,1,1,3,2,2,4,3,2,1,1,0,0,1,1,2,4,2
992,2,4,2,1,1,3,7,4,1,2,2,3,1,2,2,0,1,2,2,2
995,3,4,1,1,3,3,5,2,1,0,2,2,1,1,2,0,1,1,2,3
997,4,4,1,1,3,3,7,2,3,3,2,3,1,1,3,0,1,1,1,3
